Fold Number,Number of examples in fold,Model,Mean Absolute Error,Root Mean Squared Error,Relative Absolute Error,Relative Squared Error,Coefficient of Determination
0,17047,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,275.588757166503,656.125076621426,0.772821689907733,0.822617421768647,0.177382578231353
1,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,264.230869036714,522.981301205676,0.771282962600342,0.743018867219907,0.256981132780093
2,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,268.78656801375,555.336536421366,0.77985833217907,0.826054682957073,0.173945317042927
3,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,272.4732257883,603.953950501697,0.775226130552577,0.840491951232519,0.159508048767481
4,17047,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,271.622819355023,776.747935901844,0.77006400720235,0.822367822116684,0.177632177883316
5,17047,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,276.02609810028,657.099801534514,0.787072353682974,0.839942756571584,0.160057243428416
6,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,273.083124771761,569.815700480653,0.782128341280821,0.806153817108078,0.193846182891922
7,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,272.835118424319,609.631099935449,0.78597255082607,0.876618804272644,0.123381195727356
8,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,270.479686554558,591.687503322493,0.788442788093972,0.845444834469514,0.154555165530486
9,17048,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,272.706370772976,637.967732026628,0.778545945409624,0.86184021636698,0.13815978363302
Mean,170477,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,271.783263798418,618.134663795175,0.779141510173553,0.828455117408363,0.171544882591637
Standard Deviation,170477,Microsoft.Analytics.Modules.Gemini.Dll.GeminiDecisionForestRegressor,3.40508674613262,70.567870454261,0.00671063015156923,0.0363217168799462,0.0363217168799462
0,17047,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,295.435094776412,674.963958841626,0.828475920246683,0.870534118039975,0.129465881960025
1,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,282.795075956038,536.865533172935,0.825471394721316,0.78299423675878,0.21700576324122
2,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,287.416259542794,559.613572576385,0.83391058736508,0.838827734326979,0.161172265673021
3,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,289.243153896481,602.418715590825,0.822939025789671,0.836224365719557,0.163775634280443
4,17047,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,293.024017076819,799.17206648213,0.830737451781526,0.870535496089723,0.129464503910277
5,17047,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,292.281931379236,666.710102466412,0.833424916168923,0.864691299233382,0.135308700766618
6,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,289.168267766047,576.968481636888,0.828197267069996,0.826519816361703,0.173480183638297
7,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,289.322931734167,599.528852207258,0.833469987224749,0.847806478074639,0.152193521925361
8,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,286.489112251427,594.683638634707,0.83510993856657,0.854028691557752,0.145971308442248
9,17048,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,289.896846735288,655.451099552392,0.827622816339278,0.909724566409038,0.0902754335909622
Mean,170477,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,289.507269111471,626.637602116156,0.829935930527379,0.850188680257153,0.149811319742847
Standard Deviation,170477,Microsoft.Analytics.MachineLearning.Local.BayesianLinearRegressor,3.56075745098154,75.9388365454159,0.00404512194284292,0.0333376323099099,0.0333376323099099
0,17047,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,295.441657565896,674.961890676813,0.828494323994759,0.870528783220983,0.129471216779017
1,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,282.804277041555,536.870977231266,0.825498252448131,0.783010116667797,0.216989883332203
2,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,287.424657736679,559.61834122851,0.833934953915555,0.838842030244364,0.161157969755636
3,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,289.248079318089,602.41963422606,0.822953039333658,0.836226916057828,0.163773083942172
4,17047,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,293.035307742072,799.174565852868,0.830769461370961,0.87054094121084,0.12945905878916
5,17047,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,292.290985265163,666.713171643685,0.833450732797695,0.864699260405658,0.135300739594342
6,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,289.173440811874,576.963768191877,0.828212083019372,0.826506312193223,0.173493687806777
7,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,289.329897990793,599.526821537397,0.833490055339595,0.84780073485764,0.15219926514236
8,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,286.503980536399,594.712004118678,0.835153279315026,0.854110165179467,0.145889834820533
9,17048,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,289.898357066119,655.423026379327,0.827627128163535,0.909646640509474,0.0903533594905259
Mean,170477,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,289.515064107464,626.638420108648,0.829958330969829,0.850191190054727,0.149808809945273
Standard Deviation,170477,Microsoft.Analytics.MachineLearning.Local.BatchLinearRegressor,3.56000369834359,75.9362004772955,0.00405137171036309,0.0333205172720118,0.0333205172720118
0,17047,Regression Neural Network,379.757456614949,726.834767425976,1.06493749017095,1.00947604221244,-0.00947604221243847
1,17048,Regression Neural Network,336.538870959593,607.440789061803,0.982348119923199,1.00238698989884,-0.00238698989884401
2,17048,Regression Neural Network,340.2041869573,611.359952404698,0.987069673166422,1.00112953980374,-0.00112953980374075
3,17048,Regression Neural Network,344.783216142587,659.536710484783,0.980958616232481,1.00231413231019,-0.00231413231018585
4,17047,Regression Neural Network,344.467973936574,857.446907173112,0.97658359114432,1.0021214760473,-0.00212147604730406
5,17047,Regression Neural Network,343.15838199485,717.825696494463,0.978496154028899,1.00236298137016,-0.00236298137016422
6,17048,Regression Neural Network,341.347063935458,635.72958534454,0.977640830571475,1.00344584189958,-0.00344584189957908
7,17048,Regression Neural Network,341.958321394578,651.527553708667,0.985099922967764,1.00124907632614,-0.00124907632614168
8,17048,Regression Neural Network,337.305143824434,644.110760963734,0.983237637632101,1.00189357350517,-0.00189357350516817
9,17048,Regression Neural Network,377.836689136779,748.938029123713,1.07868115262816,1.1877392186576,-0.1877392186576
Mean,170477,Regression Neural Network,348.73573048971,686.075075218549,0.999505318846577,1.02141188720312,-0.0214118872031166
Standard Deviation,170477,Regression Neural Network,16.0792855504281,77.4228639963783,0.0383842791498919,0.0584907905683,0.0584907905683
